,Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,OppO,OppD,TeamID
279,268,Texas Southern,SWAC,10-19,-9.00,105.1,114.1,71.2,-.058,103.2,106.9,1411.0
280,269,Abilene Christian,Slnd,15-15,-9.21,99.4,108.6,68.9,+.021,102.3,108.3,1101.0
281,270,UMKC,WAC,10-20,-9.32,98.8,108.1,69.5,+.007,106.4,105.2,1282.0
282,271,Southern Utah,BSky,11-16,-9.37,101.9,111.3,72.4,+.079,106.4,106.9,1381.0
283,272,Green Bay,Horz,12-19,-9.43,99.2,108.6,72.7,-.032,103.8,107.9,1453.0
284,273,Lafayette,Pat,10-20,-9.73,103.4,113.1,68.6,-.103,102.3,108.8,1248.0
285,274,Prairie View A&M;,SWAC,13-17,-9.82,102.5,112.3,70.6,-.006,101.6,108.1,1341.0
286,275,Morehead St.,OVC,8-21,-10.08,99.8,109.9,68.7,-.069,105.8,106.3,1287.0
287,276,Fairleigh Dickinson,NEC,13-17,-10.13,103.1,113.2,70.8,+.040,103.3,108.2,1192.0
288,277,Nebraska Omaha,Sum,9-21,-10.33,105.0,115.4,70.1,+.014,108.2,105.9,1303.0
289,278,North Florida,ASun,14-18,-10.37,108.3,118.7,74.2,+.075,105.6,106.7,1316.0
290,279,New Hampshire,AE,10-20,-10.39,99.1,109.5,65.6,-.069,103.3,108.2,1306.0
291,280,Sacramento St.,BSky,6-23,-10.49,100.1,110.6,65.7,-.069,107.2,105.7,1170.0
294,281,Arkansas St.,SB,10-19,-10.68,105.3,116.0,69.8,+.002,103.7,106.2,1117.0
295,282,Pepperdine,WCC,5-25,-10.73,105.5,116.2,67.7,-.031,107.5,105.4,1337.0
296,283,Fordham,A10,9-20,-10.75,95.0,105.8,66.1,+.015,105.6,105.5,1200.0
297,284,Eastern Kentucky,OVC,11-20,-11.12,102.5,113.6,68.8,+.017,104.2,106.4,1184.0
298,285,San Jose St.,MWC,4-24,-11.12,96.6,107.7,67.5,-.036,108.6,104.7,1363.0
299,286,IUPUI,Horz,11-18,-11.22,99.4,110.6,66.5,+.037,104.0,107.5,1237.0
300,287,Quinnipiac,MAAC,10-20,-11.24,103.0,114.3,66.6,+.073,104.6,108.2,1346.0
301,288,UMass Lowell,AE,12-17,-11.30,104.1,115.4,71.7,+.007,101.8,108.8,1262.0
302,289,Bethune Cookman,MEAC,17-13,-11.34,100.3,111.6,76.2,+.037,98.5,111.2,1126.0
303,290,Samford,SC,10-21,-11.35,109.0,120.3,71.1,-.031,104.9,106.0,1359.0
304,291,Dartmouth,Ivy,6-19,-11.38,99.1,110.5,67.2,-.066,104.5,106.8,1171.0
305,292,Rice,CUSA,6-23,-11.47,99.6,111.1,67.8,-.058,105.3,104.8,1349.0
306,293,North Carolina A&T;,MEAC,18-12,-11.50,100.8,112.3,69.4,+.099,99.9,111.3,1299.0
307,294,Siena,MAAC,8-23,-11.52,98.1,109.6,65.8,-.012,105.7,107.5,1373.0
308,295,Tennessee Martin,OVC,10-21,-11.91,96.2,108.1,66.4,-.019,104.3,108.5,1404.0
309,296,Western Illinois,Sum,12-15,-11.92,97.5,109.4,68.6,+.019,105.7,107.7,1442.0
310,297,Grambling St.,SWAC,15-14,-11.97,94.5,106.4,73.2,+.083,100.6,109.4,1212.0
311,298,Western Carolina,SC,13-18,-11.97,96.0,108.0,69.5,+.104,106.3,107.0,1441.0
312,299,Binghamton,AE,11-20,-12.18,98.1,110.2,66.4,-.061,102.1,108.7,1127.0
313,300,McNeese St.,Slnd,11-17,-12.27,101.7,114.0,70.5,-.037,102.9,107.3,1270.0
314,301,Sacred Heart,NEC,10-21,-12.28,96.9,109.2,68.6,-.076,102.3,109.6,1357.0
315,302,Norfolk St.,MEAC,13-17,-12.33,96.4,108.8,69.2,+.019,101.0,110.4,1313.0
316,303,East Carolina,Amer,10-17,-12.38,97.9,110.3,68.9,+.038,103.7,106.7,1187.0
317,304,Little Rock,SB,6-23,-12.49,95.8,108.3,65.2,-.064,105.0,106.0,1114.0
318,305,Central Connecticut,NEC,14-18,-12.50,98.8,111.3,64.8,+.066,102.4,108.9,1148.0
319,306,Holy Cross,Pat,11-18,-12.52,97.3,109.9,63.1,+.038,102.9,108.6,1221.0
320,307,St. Francis NY,NEC,13-18,-12.66,99.7,112.3,69.5,+.022,102.6,108.9,1383.0
321,308,Texas A&M; Corpus Chris,Slnd,10-17,-12.66,94.6,107.3,67.6,-.024,102.5,107.2,1394.0
322,309,Kennesaw St.,ASun,10-20,-12.74,99.9,112.6,68.8,-.023,104.9,108.8,1244.0
323,310,Chattanooga,SC,9-22,-13.05,99.8,112.8,65.4,-.034,104.2,107.4,1151.0
324,311,Stetson,ASun,12-20,-13.35,99.5,112.8,70.1,-.041,103.0,109.1,1391.0
325,312,Morgan St.,MEAC,11-17,-13.59,97.0,110.6,68.3,-.084,100.3,110.6,1288.0
326,313,The Citadel,SC,10-20,-13.66,102.2,115.9,78.2,+.057,105.5,107.4,1154.0
327,314,Savannah St.,MEAC,14-16,-13.68,103.2,116.9,83.3,+.119,103.0,107.9,1366.0
328,315,Cal Poly,BW,9-19,-13.73,99.9,113.6,66.3,+.055,104.8,106.0,1142.0
329,316,SIU Edwardsville,OVC,9-21,-13.73,100.3,114.1,69.5,+.069,104.4,106.9,1188.0
330,317,Cleveland St.,Horz,9-22,-13.96,99.1,113.0,67.4,-.011,103.7,107.6,1156.0
331,318,Marist,MAAC,6-24,-13.98,99.9,113.8,70.0,-.049,104.9,108.5,1265.0
332,319,Charlotte,CUSA,5-22,-14.11,98.7,112.8,70.8,-.030,106.3,105.7,1150.0
333,320,South Florida,Amer,8-21,-14.16,98.3,112.4,64.5,+.002,104.3,106.0,1378.0
336,321,Jacksonville,ASun,15-17,-14.16,95.2,109.3,69.1,+.066,103.3,110.1,1239.0
337,322,Detroit,Horz,8-23,-14.18,102.8,117.0,72.8,-.009,105.0,106.6,1178.0
338,323,Southern,SWAC,14-15,-14.65,95.8,110.4,67.3,+.074,99.8,109.6,1380.0
339,324,North Carolina Central,MEAC,14-15,-14.87,100.0,114.8,65.6,-.026,99.8,111.6,1300.0
340,325,Youngstown St.,Horz,8-23,-15.24,102.0,117.3,71.3,+.002,104.4,105.9,1464.0
341,326,Loyola MD,Pat,9-21,-15.38,96.2,111.6,68.7,+.028,103.5,109.0,1259.0
342,327,Northern Arizona,BSky,5-24,-15.49,95.0,110.5,68.9,-.036,106.0,105.8,1319.0
343,328,American,Pat,6-24,-16.13,96.5,112.6,66.8,-.061,103.3,109.0,1110.0
344,329,Cal St. Northridge,BW,6-24,-16.18,97.5,113.7,66.0,-.047,104.2,106.7,1169.0
345,330,VMI,SC,9-20,-17.13,90.9,108.0,69.3,+.032,105.6,108.4,1440.0
346,331,Houston Baptist,Slnd,6-24,-17.14,99.3,116.4,73.4,-.086,104.4,106.7,1223.0
347,332,Arkansas Pine Bluff,SWAC,11-20,-17.14,93.3,110.5,67.6,+.044,100.9,108.7,1115.0
348,333,Presbyterian,BSth,11-21,-17.74,98.6,116.4,63.5,+.062,102.8,107.6,1342.0
349,334,Maine,AE,6-25,-17.97,91.6,109.6,71.6,-.004,104.1,107.2,1263.0
350,335,Alcorn St.,SWAC,11-18,-18.76,96.5,115.2,68.1,-.037,100.7,109.1,1108.0
351,336,Howard,MEAC,9-22,-18.96,99.5,118.4,70.1,-.048,101.4,109.7,1224.0
352,337,Jackson St.,SWAC,12-17,-19.51,91.4,110.9,63.8,+.101,101.5,110.3,1238.0
353,338,USC Upstate,ASun,7-25,-19.75,106.2,125.9,69.2,-.051,104.1,107.1,1367.0
354,339,Alabama St.,SWAC,7-21,-20.05,97.5,117.6,68.8,-.022,101.0,109.2,1106.0
355,340,Longwood,BSth,7-25,-20.86,90.4,111.2,69.4,-.034,103.9,107.5,1255.0
356,341,Incarnate Word,Slnd,7-20,-20.97,94.9,115.9,70.2,-.004,102.8,107.1,1230.0
357,342,South Carolina St.,MEAC,10-20,-21.19,97.6,118.8,70.9,+.047,101.9,109.2,1354.0
358,343,Bryant,NEC,3-28,-21.52,99.8,121.3,70.4,-.013,103.2,107.5,1136.0
359,344,Florida A&M;,MEAC,8-23,-21.64,95.6,117.2,67.5,+.050,102.7,108.5,1197.0
360,345,Northwestern St.,Slnd,4-24,-23.12,89.2,112.4,69.5,-.071,103.8,106.9,1322.0
361,346,Coppin St.,MEAC,5-25,-23.23,88.2,111.4,67.2,-.018,102.4,108.2,1164.0
362,347,Mississippi Valley St.,SWAC,4-26,-23.69,91.2,114.9,69.3,-.027,101.9,108.7,1290.0
363,348,Chicago St.,WAC,2-28,-23.89,96.2,120.1,71.9,-.076,107.7,104.0,1152.0
364,349,Maryland Eastern Shore,MEAC,7-24,-27.03,90.9,117.9,66.2,-.013,102.7,109.5,1271.0
365,350,Alabama A&M;,SWAC,2-27,-29.19,86.5,115.7,66.1,-.049,102.2,109.1,1105.0
366,351,Delaware St.,MEAC,3-27,-29.49,90.4,119.9,64.9,-.101,101.3,109.4,1175.0
