,Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,OppO,OppD,TeamID
35,36,Kansas St.,B12,17-12,+15.79,112.4,96.6,67.0,-.051,109.8,100.2,1243.0
36,37,Northwestern,B10,20-9,+15.78,111.2,95.4,65.7,-.003,108.6,101.8,1321.0
37,38,Maryland,B10,23-7,+15.59,114.6,99.0,67.7,+.065,108.6,100.8,1268.0
38,39,Houston,Amer,20-8,+15.38,115.8,100.4,65.2,-.009,105.4,103.1,1222.0
39,40,Xavier,BE,18-11,+15.13,115.2,100.1,67.9,+.038,111.2,99.9,1462.0
42,41,TCU,B12,17-12,+15.00,112.3,97.3,67.3,-.019,111.4,100.4,1395.0
43,42,Virginia Tech,ACC,21-8,+14.97,117.4,102.4,68.8,+.087,110.1,102.0,1439.0
44,43,Vanderbilt,SEC,16-14,+14.97,113.7,98.7,65.7,-.049,110.3,99.5,1435.0
45,44,Arkansas,SEC,22-7,+14.89,118.2,103.3,69.6,+.095,107.7,101.8,1116.0
46,45,Illinois St.,MVC,25-5,+14.63,106.9,92.3,65.2,+.096,105.5,104.4,1229.0
47,46,VCU,A10,23-6,+14.62,110.8,96.2,68.8,+.052,105.6,102.4,1433.0
48,47,California,P12,19-9,+14.57,106.7,92.2,65.5,-.029,107.1,103.5,1143.0
49,48,Middle Tennessee,CUSA,25-4,+14.51,111.6,97.1,64.0,+.005,105.4,105.8,1292.0
50,49,Indiana,B10,16-14,+14.27,116.0,101.7,68.3,-.098,110.0,101.4,1231.0
51,50,Michigan St.,B10,18-11,+14.18,110.8,96.6,67.9,+.036,110.8,100.5,1277.0
52,51,Syracuse,ACC,17-13,+14.00,116.0,102.0,66.9,-.032,109.9,100.8,1393.0
53,52,Georgia,SEC,17-12,+13.85,110.5,96.6,67.6,-.010,109.7,99.0,1208.0
54,53,Rhode Island,A10,19-9,+13.74,110.2,96.4,66.9,-.043,107.0,103.5,1348.0
55,54,Utah,P12,18-10,+13.56,113.9,100.4,69.2,-.081,106.8,103.6,1428.0
56,55,Tennessee,SEC,15-14,+12.96,111.3,98.3,69.9,-.044,110.0,98.4,1397.0
57,56,Providence,BE,19-11,+12.77,109.1,96.3,66.3,+.030,109.5,101.6,1344.0
58,57,Texas A&M;,SEC,16-13,+12.29,109.8,97.5,65.2,-.045,109.5,102.7,1401.0
59,58,Seton Hall,BE,19-10,+12.21,110.0,97.8,68.0,+.075,109.5,100.9,1371.0
60,59,UNC Wilmington,CAA,26-5,+12.05,116.7,104.7,70.5,+.048,105.7,105.4,1423.0
61,60,Georgetown,BE,14-16,+11.98,109.9,97.9,68.9,-.097,111.6,101.5,1207.0
62,61,Princeton,Ivy,19-6,+11.98,109.1,97.1,63.8,+.010,104.4,104.8,1343.0
63,62,Oklahoma,B12,10-19,+11.77,107.6,95.8,70.5,-.123,112.9,98.6,1328.0
64,63,Ohio St.,B10,17-13,+11.65,112.1,100.5,68.1,-.035,108.2,100.4,1326.0
65,64,Illinois,B10,17-12,+11.62,108.5,96.9,66.6,+.041,110.8,101.6,1228.0
66,65,Nevada,MWC,23-6,+11.59,113.8,102.2,69.7,+.059,104.7,104.4,1305.0
67,66,East Tennessee St.,SC,24-7,+11.37,107.9,96.5,70.4,-.016,105.8,107.4,1190.0
68,67,USC,P12,21-8,+11.31,113.2,101.9,69.8,+.097,108.5,103.9,1425.0
69,68,Alabama,SEC,16-12,+11.22,104.8,93.6,65.6,-.033,108.4,102.0,1104.0
70,69,Vermont,AE,26-5,+11.02,111.6,100.6,65.1,+.048,104.1,107.6,1436.0
71,70,BYU,WCC,21-10,+10.52,109.5,98.9,76.0,-.029,104.4,104.7,1140.0
72,71,Iowa,B10,16-13,+10.52,113.2,102.7,71.5,+.000,108.6,101.5,1234.0
73,72,UT Arlington,SB,23-6,+10.40,111.0,100.6,70.4,+.061,104.8,104.6,1426.0
74,73,UCF,Amer,19-10,+10.19,103.9,93.7,66.2,-.004,105.3,103.4,1416.0
75,74,Pittsburgh,ACC,15-15,+10.17,113.9,103.7,65.5,+.030,112.0,101.3,1338.0
76,75,Texas,B12,10-19,+9.66,104.8,95.1,68.1,-.111,112.7,99.9,1400.0
77,76,Georgia Tech,ACC,17-13,+9.46,100.0,90.6,68.0,+.058,111.1,102.0,1210.0
