,Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,OppO,OppD,TeamID
105,102,New Mexico St.,WAC,24-5,+6.02,110.0,104.0,67.8,+.066,101.5,106.6,1308.0
106,103,Fresno St.,MWC,18-11,+5.96,106.1,100.2,68.5,-.000,106.0,103.9,1201.0
107,104,North Carolina St.,ACC,15-15,+5.94,114.0,108.1,71.0,+.039,109.0,100.9,1301.0
108,105,Cal St. Bakersfield,WAC,21-7,+5.79,100.2,94.5,66.8,-.003,102.5,106.6,1167.0
109,106,San Francisco,WCC,20-11,+5.68,103.7,98.1,68.9,+.032,104.4,105.7,1362.0
110,107,Furman,SC,21-10,+5.64,108.3,102.7,65.9,+.010,105.3,106.5,1202.0
111,108,Oakland,Horz,24-7,+5.59,104.2,98.6,72.4,+.013,102.9,107.6,1324.0
112,109,Saint Peter's,MAAC,18-12,+5.51,103.6,98.1,61.1,-.059,104.0,107.4,1389.0
113,110,Chattanooga,SC,19-11,+5.34,107.4,102.1,65.6,-.005,106.3,106.9,1151.0
114,111,Harvard,Ivy,18-7,+5.32,106.8,101.5,67.1,-.023,103.2,106.4,1217.0
115,112,George Mason,A10,18-11,+5.20,110.3,105.1,69.1,+.026,104.4,103.2,1206.0
116,113,Winthrop,BSth,23-6,+5.13,107.7,102.5,71.3,+.023,101.2,107.6,1457.0
117,114,Old Dominion,CUSA,18-10,+5.03,101.5,96.5,61.6,-.023,104.7,106.9,1330.0
118,115,Akron,MAC,23-7,+5.00,113.5,108.5,66.2,+.089,104.4,107.0,1103.0
119,116,Temple,Amer,15-15,+4.84,109.0,104.2,67.5,+.018,106.5,101.6,1396.0
120,117,Florida Gulf Coast,ASun,24-7,+4.78,110.1,105.4,65.8,+.056,104.6,108.6,1195.0
121,118,Lehigh,Pat,18-11,+4.76,108.2,103.5,69.8,-.063,102.4,105.0,1250.0
122,119,Arkansas St.,SB,20-9,+4.71,107.2,102.4,67.9,+.066,104.4,105.0,1117.0
123,120,Georgia St.,SB,18-11,+3.80,106.3,102.5,68.1,+.005,104.7,105.3,1209.0
126,121,UNC Greensboro,SC,23-8,+3.60,108.0,104.4,67.3,+.125,105.1,106.5,1422.0
127,122,Towson,CAA,19-12,+3.27,105.8,102.5,68.4,+.006,105.7,106.0,1406.0
128,123,Buffalo,MAC,16-14,+3.21,106.0,102.8,71.8,-.047,106.6,106.2,1138.0
129,124,La Salle,A10,14-13,+3.18,112.9,109.7,68.5,+.038,106.5,103.0,1247.0
130,125,New Mexico,MWC,16-13,+3.04,107.8,104.8,69.2,+.026,105.9,103.8,1307.0
131,126,George Washington,A10,16-13,+2.79,108.6,105.8,65.6,+.055,105.6,103.0,1203.0
132,127,Iona,MAAC,19-12,+2.79,109.5,106.8,71.2,-.007,104.0,106.9,1233.0
133,128,Tulsa,Amer,14-14,+2.60,105.2,102.6,68.7,+.049,105.7,101.3,1409.0
134,129,Arizona St.,P12,14-16,+2.55,112.2,109.7,70.5,+.032,109.0,103.2,1113.0
135,130,Eastern Michigan,MAC,15-15,+2.53,107.9,105.3,68.6,-.085,107.7,106.4,1185.0
136,131,Elon,CAA,18-13,+2.49,105.4,102.9,68.3,-.010,105.8,106.2,1189.0
137,132,William & Mary,CAA,16-13,+2.30,112.4,110.1,71.5,-.007,105.9,105.3,1456.0
138,133,Albany,AE,19-12,+2.10,108.6,106.5,64.2,-.017,102.5,107.4,1107.0
139,134,Toledo,MAC,15-15,+2.06,110.1,108.0,67.2,-.074,105.7,106.5,1405.0
140,135,South Dakota,Sum,21-10,+2.06,105.1,103.0,71.1,+.084,106.3,108.6,1377.0
141,136,Northeastern,CAA,15-15,+2.04,108.5,106.5,66.4,-.032,105.9,104.6,1318.0
142,137,Utah St.,MWC,14-15,+2.04,107.2,105.1,66.7,-.052,105.9,103.7,1429.0
143,138,Santa Clara,WCC,16-15,+2.01,104.9,102.9,62.7,-.017,104.0,104.1,1365.0
144,139,Rutgers,B10,13-17,+2.01,101.5,99.5,66.9,-.022,108.1,101.0,1353.0
145,140,Missouri St.,MVC,16-15,+2.00,108.3,106.3,66.4,-.070,104.4,104.8,1283.0
146,141,Wyoming,MWC,17-13,+1.95,104.3,102.4,74.2,+.007,105.8,104.9,1461.0
147,142,Rice,CUSA,20-9,+1.95,108.8,106.9,72.4,-.033,101.8,107.4,1349.0
149,144,Mercer,SC,15-16,+1.79,110.2,108.4,61.9,-.055,106.4,105.9,1273.0
150,145,Fort Wayne,Sum,19-11,+1.66,109.9,108.2,72.0,-.022,106.3,109.5,1236.0
151,146,Massachusetts,A10,14-15,+1.52,101.5,100.0,73.4,-.041,105.7,104.5,1269.0
152,147,Kent St.,MAC,18-12,+1.36,104.8,103.5,69.2,-.011,104.1,106.6,1245.0
153,148,North Dakota St.,Sum,19-10,+1.36,105.5,104.1,67.2,+.083,106.5,108.0,1295.0
154,149,Lipscomb,ASun,20-12,+1.13,108.0,106.8,74.4,-.005,104.1,107.8,1252.0
155,150,Wofford,SC,15-16,+1.12,110.2,109.1,66.8,-.063,106.3,104.9,1459.0
156,151,Northern Kentucky,Horz,21-10,+1.09,107.4,106.3,68.2,+.068,103.3,106.6,1297.0
157,152,Penn,Ivy,12-13,+1.09,103.3,102.3,66.7,-.046,104.6,105.1,1335.0
158,153,Southern Illinois,MVC,16-15,+1.01,106.4,105.4,65.7,+.039,104.8,103.7,1356.0
159,154,Western Michigan,MAC,14-15,+0.91,109.3,108.3,68.1,-.027,106.6,105.7,1444.0
160,155,Yale,Ivy,15-10,+0.87,106.0,105.1,68.8,+.043,104.6,105.7,1463.0
161,156,Tennessee St.,OVC,17-12,+0.80,101.2,100.4,67.0,-.001,105.3,107.1,1398.0
162,157,Georgia Southern,SB,18-12,+0.69,107.0,106.3,69.2,+.047,105.6,106.5,1204.0
163,158,UC Irvine,BW,17-13,+0.65,101.5,100.8,67.2,-.012,104.0,106.8,1414.0
164,159,North Carolina Central,MEAC,22-7,+0.63,103.5,102.9,66.7,-.037,98.6,109.9,1300.0
165,160,Marshall,CUSA,16-13,+0.57,110.8,110.3,78.3,+.019,104.3,104.9,1267.0
168,161,Evansville,MVC,15-16,+0.55,103.8,103.2,66.7,-.027,105.7,104.3,1191.0
169,162,New Hampshire,AE,19-11,+0.52,103.6,103.1,66.1,+.037,103.1,107.4,1306.0
170,163,Boston College,ACC,9-20,+0.43,104.9,104.4,71.6,-.034,109.9,102.1,1130.0
171,164,Wright St.,Horz,20-11,+0.37,106.7,106.3,69.1,+.070,103.8,105.9,1460.0
172,165,Northern Iowa,MVC,14-15,+0.20,97.8,97.6,63.6,+.066,108.2,103.1,1320.0
173,166,Samford,SC,17-14,+0.14,109.1,108.9,68.9,-.047,104.5,106.9,1359.0
174,167,Saint Joseph's,A10,10-18,+0.13,104.2,104.0,69.0,-.046,107.3,103.0,1386.0
175,168,Missouri,SEC,7-22,+0.02,100.2,100.2,68.7,-.179,108.3,101.9,1281.0
176,169,Troy,SB,16-14,-0.03,110.3,110.3,68.6,-.064,103.0,105.3,1407.0
177,170,LSU,SEC,9-19,-0.05,110.2,110.2,72.2,+.001,109.6,100.0,1261.0
178,171,Loyola Marymount,WCC,15-14,-0.05,103.4,103.4,67.8,+.036,105.4,105.1,1258.0
179,172,Washington,P12,9-19,-0.13,108.8,108.9,71.6,-.101,108.6,103.7,1449.0
180,173,North Dakota,BSky,18-8,-0.36,105.1,105.4,71.7,+.042,102.8,108.4,1315.0
181,174,New Orleans,Slnd,17-10,-0.51,101.5,102.0,67.1,+.058,103.4,107.9,1309.0
182,175,Hofstra,CAA,15-16,-0.58,111.7,112.3,67.9,-.025,105.1,105.6,1220.0
183,176,Ball St.,MAC,19-11,-0.68,105.5,106.2,70.9,+.047,103.7,107.8,1123.0
184,177,DePaul,BE,9-21,-0.70,104.1,104.8,68.0,-.065,109.3,102.2,1177.0
185,178,Green Bay,Horz,18-12,-0.71,103.1,103.8,74.3,+.051,104.7,107.2,1453.0
186,179,Eastern Washington,BSky,20-9,-0.73,110.0,110.7,66.8,+.117,103.4,108.2,1186.0
187,180,Grand Canyon,WAC,21-9,-0.77,101.6,102.3,69.2,+.071,100.6,107.7,1213.0
188,181,Weber St.,BSky,16-11,-0.85,108.5,109.4,66.6,-.020,103.6,107.8,1451.0
189,182,Siena,MAAC,15-16,-0.87,105.5,106.3,69.2,-.011,105.4,106.0,1373.0
190,183,Denver,Sum,16-13,-1.09,108.4,109.4,66.8,+.000,104.5,107.9,1176.0
191,184,UAB,CUSA,15-14,-1.33,105.6,106.9,66.8,-.013,104.6,105.6,1412.0
192,185,Boston University,Pat,17-13,-1.43,102.7,104.1,69.9,+.007,102.8,106.2,1131.0
193,186,Canisius,MAAC,17-14,-1.45,109.3,110.8,70.0,+.019,103.6,106.3,1145.0
194,187,UMBC,AE,18-11,-1.89,109.0,110.9,70.9,+.016,102.5,107.8,1420.0
195,188,Jacksonville St.,OVC,17-14,-1.89,105.0,106.9,64.6,+.026,104.3,106.4,1240.0
196,189,Nebraska Omaha,Sum,16-13,-2.04,108.9,111.0,74.2,+.107,106.8,106.9,1303.0
197,190,Fordham,A10,13-16,-2.06,98.1,100.2,64.3,+.002,105.3,103.7,1200.0
198,191,South Dakota St.,Sum,15-16,-2.14,111.4,113.5,67.4,-.008,105.3,106.1,1355.0
199,192,Gardner Webb,BSth,18-13,-2.19,102.8,105.0,71.1,-.015,102.2,107.4,1205.0
200,193,Texas St.,SB,17-11,-2.26,101.6,103.8,62.1,+.036,102.6,106.9,1402.0
201,194,Utah Valley,WAC,13-15,-2.28,101.9,104.2,74.5,-.085,102.8,104.7,1430.0
202,195,Indiana St.,MVC,11-19,-2.31,100.1,102.4,69.8,-.006,106.1,103.0,1232.0
203,196,Washington St.,P12,13-15,-2.38,104.9,107.3,68.2,+.087,108.5,103.8,1450.0
204,197,Murray St.,OVC,14-16,-2.39,108.4,110.8,69.4,-.112,104.3,107.6,1293.0
205,198,Coastal Carolina,SB,15-15,-2.43,104.0,106.5,68.0,+.033,105.4,105.0,1157.0
206,199,San Jose St.,MWC,14-13,-2.74,101.4,104.1,71.3,+.082,105.7,105.1,1363.0
