,Rank,Team,Conf,W-L,AdjO,AdjD,AdjT,Luck,OppO,OppD,TeamID,AdjEM
195,188,Georgia St.,SB,15-12,96.9,99.0,65.2,+.020,102.1,103.5,1209.0,-2.0999999999999943
196,189,Eastern Washington,BSky,16-12,111.2,113.6,70.3,-.010,101.9,106.7,1186.0,-2.3999999999999915
197,190,Western Carolina,SC,15-16,100.5,102.9,69.4,+.031,105.6,104.4,1441.0,-2.4000000000000057
198,191,Western Michigan,MAC,11-18,103.6,106.0,68.5,-.072,104.9,103.7,1444.0,-2.4000000000000057
199,192,Eastern Kentucky,OVC,15-16,106.4,109.0,73.1,-.030,102.8,105.9,1184.0,-2.5999999999999943
200,193,NJIT,ASun,17-13,102.2,104.7,70.0,+.037,103.3,107.0,1312.0,-2.5
201,194,UNC Greensboro,SC,14-17,103.7,106.3,68.3,-.024,104.7,105.5,1422.0,-2.5999999999999943
202,195,DePaul,BE,9-19,103.0,105.6,68.4,+.003,106.4,99.9,1177.0,-2.5999999999999943
203,196,Harvard,Ivy,12-16,97.7,100.2,66.6,-.066,104.2,102.9,1217.0,-2.5
204,197,UCF,Amer,11-16,100.3,102.8,68.6,-.021,104.8,102.9,1416.0,-2.5
205,198,Washington St.,P12,9-20,102.0,104.6,69.2,-.047,107.5,101.0,1450.0,-2.5999999999999943
206,199,IUPUI,Sum,13-18,100.0,102.9,69.6,+.044,105.4,102.7,1237.0,-2.9000000000000057
207,200,Charlotte,CUSA,12-17,105.7,108.7,71.0,-.046,104.1,106.3,1150.0,-3.0
210,201,North Dakota,BSky,15-12,98.5,101.5,72.2,-.027,101.5,106.2,1315.0,-3.0
211,202,Georgia Southern,SB,14-14,104.5,107.7,69.2,+.012,102.2,104.0,1204.0,-3.200000000000003
212,203,Denver,Sum,15-14,102.3,105.4,61.9,+.038,103.4,106.2,1176.0,-3.1000000000000085
213,204,San Francisco,WCC,15-14,106.3,109.5,71.4,+.050,102.9,105.0,1362.0,-3.200000000000003
214,205,Saint Peter's,MAAC,14-15,96.7,99.7,65.5,+.001,102.6,105.3,1389.0,-3.0
215,206,Navy,Pat,18-13,99.3,102.4,65.7,+.001,101.4,106.9,1298.0,-3.1000000000000085
216,207,Rider,MAAC,12-19,100.5,103.7,65.4,-.073,102.0,103.9,1351.0,-3.200000000000003
217,208,Cal Poly,BW,10-17,106.5,109.9,67.3,-.075,104.0,102.3,1142.0,-3.4000000000000057
218,209,East Carolina,Amer,11-18,103.3,106.9,68.0,-.025,104.1,101.4,1187.0,-3.6000000000000085
219,210,George Mason,A10,10-19,100.3,103.9,68.7,-.007,105.3,102.0,1206.0,-3.6000000000000085
220,211,Florida Gulf Coast,ASun,17-13,101.0,104.8,68.0,-.045,103.3,107.6,1195.0,-3.799999999999997
221,212,South Dakota,Sum,14-17,105.2,109.2,71.6,+.059,104.6,103.3,1377.0,-4.0
222,213,Boston University,Pat,18-13,102.2,106.2,70.7,+.060,101.0,105.5,1131.0,-4.0
223,214,Idaho,BSky,18-11,96.4,100.4,66.4,+.076,101.4,106.8,1225.0,-4.0
